Items in the Home,Friends Going Shopping
-6.547033841,-11.30423815
-6.36180136,-10.27599403
-6.216046258,-8.931829782
-5.976361864,-8.869692223
-5.779162345,-8.608282408
-5.695051518,-8.10810069
-5.342727001,-7.851966747
-5.325618756,-7.71879119
-5.308045299,-7.667415617
-5.198608962,-7.569765335
-5.086777476,-7.445833232
-5.008732537,-7.363094892
-4.938591015,-7.273420505
-4.840764135,-6.550578737
-4.826993513,-6.306718561
-4.697692978,-6.18013032
-4.543834032,-6.042266443
-4.533064485,-5.974133961
-4.461000696,-5.967094197
-4.442462516,-5.936142805
-4.383845982,-5.81110556
-4.23783025,-5.799065659
-4.203199434,-5.789103548
-4.183317877,-5.769338244
-4.074983545,-5.667904775
-4.02972745,-5.582447726
-3.997523699,-5.580113209
-3.967596407,-5.571298391
-3.937072209,-5.38275227
-3.916161736,-5.126674615
-3.861715297,-5.064827586
-3.77791906,-5.01677838
-3.762382601,-4.926799825
-3.751813037,-4.887498255
-3.742951044,-4.862216366
-3.725366996,-4.657221808
-3.714456056,-4.581472913
-3.670409339,-4.416594525
-3.630718428,-4.347496625
-3.628573255,-4.159351318
-3.62389983,-4.110356495
-3.595698966,-4.071048039
-3.535390544,-4.025038575
-3.519938024,-3.729254581
-3.513636085,-3.560123649
-3.494182692,-3.251765924
-3.492447763,-3.247165318
-3.490615237,-3.225131611
-3.478982765,-3.206621611
-3.478805308,-3.167630869
-3.461794011,-3.076927649
-3.460388611,-2.992864222
-3.457494122,-2.896340318
-3.455068784,-2.786470603
-3.445994108,-2.776751086
-3.4451569,-2.707904362
-3.413452728,-2.597630885
-3.399331048,-2.536217757
-3.393048136,-2.506602813
-3.387693946,-2.320797293
-3.384800796,-2.293034736
-3.360018631,-2.289175347
-3.350106958,-2.262513229
-3.345952787,-2.202709754
-3.345735642,-2.192150539
-3.345326597,-2.123519768
-3.330439619,-2.091406243
-3.298768549,-1.959090995
-3.281947507,-1.879332609
-3.26856494,-1.861720472
-3.262531467,-1.84402192
-3.257908454,-1.616563234
-3.202476099,-1.558355486
-3.191540166,-1.549290748
-3.157472975,-1.506703304
-3.155521331,-1.491543979
-3.095798498,-1.477100643
-3.087935606,-1.473389617
-3.084333549,-1.387338326
-3.081685742,-1.337230136
-3.018406251,-1.307883635
-2.997172927,-1.302122683
-2.989144757,-1.26409827
-2.976338388,-1.199893587
-2.965419394,-1.195230815
-2.96369986,-1.084589874
-2.956677203,-1.041169949
-2.922453467,-1.034196667
-2.911951126,-0.895340436
-2.899570482,-0.690855236
-2.899387725,-0.599328247
-2.881675234,-0.59391533
-2.875566497,-0.556322714
-2.848377942,-0.522606661
-2.845895901,-0.496530596
-2.84097866,-0.474370765
-2.84097866,-0.459941158
-2.83992797,-0.429178253
