trial_type,response,workerid
debrief,Helped them find out what they bought and where.,63b8734cb5ca484ba77136837a020ca3
debrief,described what they were looking for and what they purchased at various stores,e8a003038b261441e0d735d188050e94
debrief,i had to guess what they bought,5caf7973218c234de9e443b8b104012f
debrief,identify the product,ee774502d18a9c9de1c4979e8fcbbae2
debrief,I helped them remember what they bought at different stores.,9058a35b3332a6b7885a79bcf18f242e
debrief,"For Bear, I identified things depending on what room the item was in and its price. For Cubert, I identified items based of what type of item was purchase and the cost.",3d70eabd634ceba53e7aa911e40e577c
debrief,i let them know their remaining item,088a60dba598bc43a8707bf98dadfc72
debrief,I helped figure out what they and their friends bought at the store.,7279387cea2d2d59d6f2b9299d2d1a74
debrief,"Listed things they got from the store in the second part and in the first part, identified things that weighed different amounts and different prices in different rooms of a house",8c6052af15617d90f3963c7d1becc1dc
debrief,Remember & help,b21dc3b87283b43b872a53f9874052b0
debrief,help them find what they forgot or were looking for,bbfe9f9d585cfccbeaa933c9761bcb53
debrief,I answered their questions  ,68a7434d2be17b2b521a4cf1fb27d9de
debrief,guess what they bought,510d42d01e22fbf03d2e0382345afc95
debrief,Helped them remember what they purchased and where.,f10422a3398b576e61e88b0845da1db8
debrief,what they spent on items in certain rooms and what they bought at certain stores,a6229aa0430064839b34c3d6f7b56cd0
debrief,"for bear i found things in a room
for cubert I went to different stores",ebae0f0737630c5c1e3097886dc1bb56
debrief,Listed items Bear couldn't find and listed items Cubert couldn't remember,b8b58c647c8ff764800e1b1770318eb7
debrief,I helped bear figure out what was in a room. I helped Cubert figure out what store he and his friend went to and what they bought.,2c1e8f4c36bee659ff64a689af73c0ac
debrief,"I helped them find objects based on a price, and I helped them remember what they bought at a few stores because they didn't have clear receipts.",eff31afe357e8a704940bee47dfba9bf
debrief,Helped them figure out what they were looking for and what they bought based on the information they gave.,6194113b810e8133177ac58f8d19bc84
debrief,I helped them figure what kind of store they went to and what they purchased,9ff1e4fdffa9b0e2c8dc9473a55deda0
debrief,helped to identify items that they were asked to find and shop for ,4a2e305c36b02e277e4d57f511bae431
debrief,I figured out what they were looking for by weight and price. I also figured out what stores they shopped at and what they bought.,5e2c763e1d9f01a443b33956a74cdaeb
debrief,"Tried to help them find objects, then helped them remember what they bought.",3cb2256cb66c0f797dd2cb42d245be9f
debrief,I helped them remember what items they bought and helped them find different items,e3daf1a4eb97cf4a53872df284079447
debrief,i made a description,dbbe8db5c6a5d9aac109ce59afce86dd
debrief,I made up things that they supposedly bought.,b24bf800b30cf6654754e98c12bd6837
debrief,I helped them identify items in a home and things they may have bought at a store.,c7ce2f3ccc4941715b9effe8b242d066
debrief,help figure out what the bought,9b78255ad138d56f1a71e84c9cdac66e
debrief,I helped them remember or decide what objects were being referred to,4cd1c73eb2ff674d52d91852c780e72c
debrief,"I helped bear figure out objects in a room, and I helped Cubert figure out what he bought and where he bought it",cf51fcd501069d88a98f8174a84d265f
debrief,"For bear I help locate products in the house.
For Cubert I decided where he shopped",9020fd11a934547e07e7e8bb0da83667
debrief,found certain various objects by reading description and guessing the store and what else was purchased.,8060ae834355c031080391bec53f8b77
debrief,Try to find out what items have they bought from some stores.,abdae60501199f4100a92fd2d8c3701d
debrief,Helped figure out what they were looking for,0e1b6bc9c6f10df64c90bf816a724142
debrief,Estimated what they bought and what items Bear was looking for in the house.,a0982a9b7e8502969b40cbe54ea3cde1
debrief,I helped to tell Bear what he should be looking for in a room and helped Cubert figure out where he shopped based on receipts.,126331a60a75230ceef87105956034ac
