language,enjoyment,asses,age,gender,education,comments,problems,fairprice,exptid,workerid
English,0,Yes,57,Male,2,Highly underpaid for the time required to give thoughtful answers.,None,7.00,1,63b8734cb5ca484ba77136837a020ca3
english,2,Yes,45,Male,3,,none,3.00,1,e8a003038b261441e0d735d188050e94
english,2,Yes,32,Female,2,ty,no,2.25,1,5caf7973218c234de9e443b8b104012f
English ,2,Yes,25,Female,3,good,no,good,1,ee774502d18a9c9de1c4979e8fcbbae2
english,0,Confused,32,Male,2,This was very confusing and didnt make any sense but I gave a sincere effort in completing it.,No,$3.00,1,9058a35b3332a6b7885a79bcf18f242e
English,1,Yes,64,Female,3,,No,2.25,1,3d70eabd634ceba53e7aa911e40e577c
ENGLISH,2,Yes,26,Male,2,,,,1,088a60dba598bc43a8707bf98dadfc72
English,1,Yes,58,Female,2,,no,3.00,1,7279387cea2d2d59d6f2b9299d2d1a74
english,1,Yes,45,Female,2,none,no,3.00,1,8c6052af15617d90f3963c7d1becc1dc
English,2,Confused,40,Male,2,Very difficult & i nervous ,no,$2.25,1,b21dc3b87283b43b872a53f9874052b0
english,2,Yes,41,Female,2,,no,3.00,1,bbfe9f9d585cfccbeaa933c9761bcb53
english,1,Yes,27,Male,3,none,no,4,1,68a7434d2be17b2b521a4cf1fb27d9de
English,0,Yes,71,Female,1,underpaid severely,n,6.00,1,510d42d01e22fbf03d2e0382345afc95
English,2,Yes,48,Female,3,Interesting..Thanks,none,2.25,1,f10422a3398b576e61e88b0845da1db8
english,2,NA,53,Female,2,thank you,no,2.50,1,a6229aa0430064839b34c3d6f7b56cd0
englosh,2,Yes,62,Female,1,,no,2.00,1,ebae0f0737630c5c1e3097886dc1bb56
English,0,Yes,35,Male,2,,No,3.50,1,b8b58c647c8ff764800e1b1770318eb7
English,1,Yes,36,Male,1,I didn't like the lack of feedback. Hard to know if you're doing it right.,The progress bar is a little off,3,1,2c1e8f4c36bee659ff64a689af73c0ac
English,2,Yes,28,Male,3,,No bugs.,3,1,eff31afe357e8a704940bee47dfba9bf
English,1,Yes,28,Female,2,A little confusing. I might have spent more time trying to think about answers if it was a higher hourly pay.,No.,3.00,1,6194113b810e8133177ac58f8d19bc84
english,1,Yes,54,Male,4,no comments,no,3.00,1,9ff1e4fdffa9b0e2c8dc9473a55deda0
English,2,Yes,57,Female,2,"price and items for the finding part were hard since some were a cheap price, but weighed a lot ",no,3,1,4a2e305c36b02e277e4d57f511bae431
English,1,Yes,31,Male,2,Thank you,No,4,1,5e2c763e1d9f01a443b33956a74cdaeb
English,1,Yes,49,Male,2,,No,Yes,1,3cb2256cb66c0f797dd2cb42d245be9f
