trial_type,trial_num,location,verb_0,generalAmount_0,amount_0,verb_1,generalAmount_1,amount_1,object_0,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_1,objectID_1_0,store_1,workerid
simple,1,basement,costs,high,$750,weighs,high,40 pounds,Washer,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,2,study,costs,low,$18,weighs,medium,11 pounds,Book,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,3,bathroom,costs,high,$300,weighs,low,3.5 pounds,Showerhead,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,4,kitchen,costs,low,$10,NA,NA,NA,Knife,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,5,bedroom,costs,medium,$40,NA,NA,NA,Clothes,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,6,living room,costs,low,$8,NA,NA,NA,Lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,7,living room,costs,low,$20,weighs,low,2.5 pounds,Knickknack,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,8,kitchen,costs,medium,$100,weighs,low,5 pounds,Keurig,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,9,basement,costs,medium,$50,NA,NA,NA,Ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,10,basement,costs,medium,$80,weighs,medium,17 pounds,Chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,11,bedroom,costs,high,$1000,weighs,low,5 pounds,Headboard,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,12,bedroom,costs,low,$5,NA,NA,NA,Candle,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,13,bedroom,costs,high,$400,weighs,medium,10 pounds,Dresser,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,14,bedroom,costs,high,$300,weighs,high,70 pounds,Nightstand,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,15,bathroom,costs,high,$500,NA,NA,NA,Bathtub,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,16,kitchen,costs,low,$8,weighs,medium,10 pounds,Sharpener,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,17,basement,costs,low,$20,NA,NA,NA,Cleaner,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,18,study,costs,high,$1000,weighs,medium,10 pounds,Vacuum,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,19,living room,costs,high,$750,weighs,low,5 pounds,Television,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,20,bathroom,costs,medium,$60,NA,NA,NA,Medicine,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,21,kitchen,costs,medium,$40,weighs,high,90 pounds,Microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
simple,22,kitchen,costs,high,$500,NA,NA,NA,Dishwasher,NA,NA,NA,NA,NA,NA,NA,NA,NA,c550237eb4ad65a549788f3486242ba2
