language,enjoyment,age,gender,education,comments,problems,fairprice,exptid,workerid,asses
English,0,33,Male,2,"It was somewhat repetitive and the image did not load in the beginning, but thank you for allowing me to do it.",The image of the character did not show in the beginning phase.,3.00,1,156f851418e7c5672c014cdb137e1a2f,NA
English,1,49,Male,3,,no,$2,1,2916ff6eb0449ed217190a8fac17cb39,Confused
english,2,35,Male,2,"this was pretty exciting, but it was difficult to feel accomplished since the hints were so vague",one of the images was broken/not loading,1.75,1,a0b811e830c280b71786abf105369420,Yes
English,1,36,Female,3,The second part with receipts was much more difficult and the single word limitation was indeed very limiting for my answers.,no,2.00,1,e7a719b7494243dac9431bff3f0fe39d,Yes
English,2,41,Male,2,"Interesting study, thank you. ",The first character picture was missing. ,yes,1,42ce5b099d9a0f7a69371a1610c9a4ce,Yes
english,2,21,Female,2,,No,2.00,1,c291bef291fc36ea23247fd507a83937,Yes
English,1,24,Male,3,,One of the images of the characters didn't load.,$2,1,09851d6b4335b264bec64b0f77200635,Yes
English,1,37,Male,3,"It was a confusing hit, but maybe it was that way for me because the pictures did not load.",None of the pictures in the main experiment loaded. I did not know if I was being shown a room to look at. I took screenshots if you need them.,2,1,8bcf872e27458f21b63e8ff56bea3d5d,Confused
English,2,28,Female,3,"This was interesting and unique, and I enjoyed it! Good luck!","No, not that I noticed",Yes,1,5dfb4d00973cc6399272a2f856e510d8,Yes
English,2,55,Female,3,"I really did enjoy it. It was different and it made me think hard.  I had to think of things that I had, didn't have or would like to have.  Thank you for having me.  ",I had no issues.  ,1.75,1,4f252d3ec3941349b0d8c413c148ef41,Yes
emglish,1,64,Male,3,it was ok,no,3.00,1,8ad6d8c1bb0bb103bd8fdf18d47474ae,Yes
English,1,59,Male,-1,,No,2.00,1,401d081aa68fc4924312915e38f8ef00,Yes
english,1,43,Female,2,,no,2,1,94d3f6c883a2d31d8138f19eaa684da3,Yes
English,1,32,Male,3,It got kind of difficult at points to try and figure out a one word answer to some of the questions.,No.,$3,1,6aa120c109fb90b083cf1a60a5a580f1,Yes
English,1,33,Female,2,,,2,1,56e79a4e002696661e1e87e7bc0e9232,Confused
English,2,24,Male,2,None,None,2.00,1,d56646442c5aba41d0cf69f05cfb9ecb,Yes
English,2,70,Male,3,Makes you think,No,2.00,1,9f4da298b7e468d274a0913b1f71514e,Yes
english,1,31,Male,1,,,yes,1,385a36d869bfd91224e5c9944ecce64f,No
