trial_type,trial_num,location,verb_0,amount_0,verb_1,amount_1,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_0,object_1,objectID_1_0,store_1,workerid
simple,1,bedroom,costs,$500,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,2,bathroom,costs,$50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,3,bathroom,costs,$500,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,4,kitchen,costs,$20,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,5,kitchen,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,6,bedroom,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,7,bedroom,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,8,bathroom,costs,$50,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,9,bathroom,costs,$20,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,10,kitchen,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,11,kitchen,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,12,study,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,13,kitchen,costs,$50,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,14,bathroom,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,15,bathroom,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,16,study,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,17,bedroom,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,18,bedroom,costs,$50,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,19,bedroom,costs,$500,weighs,5 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
simple,20,bedroom,costs,$50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385a36d869bfd91224e5c9944ecce64f
complex,21,same,NA,NA,NA,NA,2,$100,table,1,$50,home,table,table,NA,NA,385a36d869bfd91224e5c9944ecce64f
complex,22,different,NA,NA,NA,NA,4,$100,suitcase,2,$30,same,table,table,spatula,same,385a36d869bfd91224e5c9944ecce64f
complex,23,same,NA,NA,NA,NA,2,$1000,laptop,1,$50,same,laptop,laptop,NA,NA,385a36d869bfd91224e5c9944ecce64f
complex,24,different,NA,NA,NA,NA,2,$100,hat,2,$30,home,socks,socks,socks,walmart,385a36d869bfd91224e5c9944ecce64f
simple,1,study,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,chair,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,2,bedroom,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,suitcase,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,3,kitchen,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,blender,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,4,kitchen,costs,$500,weighs,15 pounds,NA,NA,NA,NA,NA,NA,microwave,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,5,kitchen,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,toaster,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,6,study,costs,$500,weighs,5 pounds,NA,NA,NA,NA,NA,NA,laptop,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,7,study,costs,$50,NA,NA,NA,NA,NA,NA,NA,NA,lamp,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,8,bedroom,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,nightstand,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,9,study,costs,$20,weighs,50 pounds,NA,NA,NA,NA,NA,NA,footstool,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,10,study,costs,$20,weighs,5 pounds,NA,NA,NA,NA,NA,NA,aireal,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,11,kitchen,costs,$500,weighs,5 pounds,NA,NA,NA,NA,NA,NA,mixer,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,12,study,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,computer,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,13,bathroom,costs,$500,weighs,50 pounds,NA,NA,NA,NA,NA,NA,cabinet,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,14,bedroom,costs,$20,weighs,15 pounds,NA,NA,NA,NA,NA,NA,cabinet,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,15,kitchen,costs,$50,NA,NA,NA,NA,NA,NA,NA,NA,knife,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,16,study,costs,$20,NA,NA,NA,NA,NA,NA,NA,NA,blotter,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,17,bathroom,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,shower,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,18,bedroom,costs,$500,weighs,5 pounds,NA,NA,NA,NA,NA,NA,sheets,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,19,bathroom,costs,$50,weighs,50 pounds,NA,NA,NA,NA,NA,NA,sink,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,20,kitchen,costs,$500,weighs,50 pounds,NA,NA,NA,NA,NA,NA,disposal,NA,NA,NA,9f4da298b7e468d274a0913b1f71514e
complex,21,different,NA,NA,NA,NA,4,$100,suitcase,2,$30,department store,"shirt,socks,belt","silverware,plates,cups",spatula,home improvement,9f4da298b7e468d274a0913b1f71514e
complex,22,same,NA,NA,NA,NA,2,$100,table,1,$50,furniture,placemats,chair,NA,NA,9f4da298b7e468d274a0913b1f71514e
complex,23,different,NA,NA,NA,NA,2,$100,hat,2,$30,clothing,gloves,slippers,socks,department,9f4da298b7e468d274a0913b1f71514e
complex,24,same,NA,NA,NA,NA,2,$1000,laptop,1,$50,electronics,mouse,charger,NA,NA,9f4da298b7e468d274a0913b1f71514e
simple,1,kitchen,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,2,bedroom,costs,$50,weighs,15 pounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
simple,3,bedroom,costs,$500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d56646442c5aba41d0cf69f05cfb9ecb
